no,front_color,back_color,path,text_front
199304470,연두,,./image/199304470,
197400571,노랑,,./image/197400571,ASCOUGH   YJP
198803039,갈색,,./image/198803039,ZSM
200703756,분홍,,./image/200703756,HM8
199703153,하양,,./image/199703153,CZT
200004062,하양,,./image/200004062,RNT
200402488,하양,,./image/200402488,마크226
199102043,초록,하양,./image/199102043,FNA FNA
199702297,하양,,./image/199702297,마크
200502773,하양,,./image/200502773,MSR
199502505,초록,,./image/199502505,Doneo
200300408,노랑,"노랑, 옅은",./image/200300408,D.W AXID
199700745,연두,노랑,./image/199700745,DW ==
198701796,파랑,파랑,./image/198701796,GCC 마이드린
200202791,하양,,./image/200202791,DNT
200700055,하양,,./image/200700055,DRPZ KLN
198100119,하양,,./image/198100119,UDCA
198700405,연두,,./image/198700405,BEARSE
198200170,하양,,./image/198200170,D분할선W
200300401,하양,,./image/200300401,10분할선00
200200444,주황,,./image/200200444,DW
200400462,갈색,,./image/200400462,LVGD
200400486,주황,,./image/200400486,D.W4
200400475,파랑,회색,./image/200400475,Lorabid D.W
198100123,초록,연두,./image/198100123,DWB CFR500
200500547,하양,,./image/200500547,마크
199400494,하양,,./image/199400494,DW
200200445,연두,,./image/200200445,DW
199700749,연두,,./image/199700749,Moxicle
200500548,주황,,./image/200500548,게므론G
200400477,파랑,,./image/200400477,D.W
199300693,주황,노랑,./image/199300693,DW Fenopron      300
200500551,하양,,./image/200500551,CQ
200500554,연두,,./image/200500554,CC
200400478,하양,,./image/200400478,D.W
199300694,하양,,./image/199300694,Albis
200500557,주황,,./image/200500557,게므론큐
200400480,하양,,./image/200400480,마크50
200400481,노랑,노랑,./image/200400481,DWB 300
199700738,하양,,./image/199700738,D.W.M
200700726,검정,,./image/200700726,FER-C
199603003,하양,,./image/199603003,TYLENOLER
200100579,분홍,,./image/200100579,DW
200503255,갈색,,./image/200503255,
200700470,노랑,,./image/200700470,KS
200607866,노랑,,./image/200607866,TPU
199600572,주황,갈색,./image/199600572,아미콜린
197900141,하양,,./image/197900141,DW
199600573,빨강,,./image/199600573,SRC
200200443,자주,,./image/200200443,D.W
200000803,파랑,"파랑, 진한",./image/200000803,D.W ZGDF
199300692,갈색,,./image/199300692,D.W
200000796,하양,,./image/200000796,ARICEPT
200000797,노랑,,./image/200000797,ARICEPT
200000799,갈색,갈색,./image/200000799,D.W HMF
198000160,하양,,./image/198000160,I분할선I
198200166,자주,"분홍, 투명",./image/198200166,Inderal Inderal  LA　　 　LA
198900462,자주,"분홍, 투명",./image/198900462,Inderal Inderal LA-80   LA-80
198900463,하양,,./image/198900463,D분할선W
199100569,빨강,노랑,./image/199100569,D.W TST100
200400465,갈색,,./image/200400465,
199400486,하양,,./image/199400486,Airtal
199500435,초록,노랑,./image/199500435,DW ELC
199900509,주황,,./image/199900509,GLK
200600115,하양,,./image/200600115,C15
199500439,하양,,./image/199500439,DW
200400469,노랑,,./image/200400469,D.W
200500541,주황,,./image/200500541,SANKYO
200500542,노랑,,./image/200500542,D.W
199500630,하양,,./image/199500630,IH분할선AL
200803641,하양,,./image/200803641,K분할선W
198401066,하양,,./image/198401066,TJPCT
200700844,하양,,./image/200700844,CP7
200606561,초록,초록,./image/200606561,WRP 덴트리올
198701585,하양,,./image/198701585,TJ분할선5
200004064,갈색,,./image/200004064,HJT
198601341,갈색,,./image/198601341,
200807284,빨강,,./image/200807284,VPL
200502784,갈색,노랑,./image/200502784,Liveren
200502785,초록,노랑,./image/200502785,GCC 그린노즈
200600576,노랑,,./image/200600576,VCF
200701020,분홍,,./image/200701020,JY
200701021,하양,,./image/200701021,마크 분할선200
200701045,하양,,./image/200701045,GJ
200805113,하양,,./image/200805113,MK
200400320,초록,초록,./image/200400320,IDP RXM
200400322,하양,,./image/200400322,I분할선D
200400323,노랑,,./image/200400323,ID
200500419,분홍,,./image/200500419,IDP
200500421,분홍,,./image/200500421,ID
199200183,하양,,./image/199200183,CFN
199300168,하양,,./image/199300168,BNT
200604180,연두,,./image/200604180,MN
196600007,노랑,,./image/196600007,마크분할선K1
198300146,주황,노랑,./image/198300146,ID ATM
198700309,하양,,./image/198700309,
199000352,하양,하양,./image/199000352,UG 200
200300266,노랑,,./image/200300266,ID4
200000175,노랑,,./image/200000175,B분할선B
199300175,분홍,,./image/199300175,M분할선10
198300049,주황,,./image/198300049,마크ADN
197600035,하양,,./image/197600035,마크GS
199600144,빨강,"하양, 투명",./image/199600144,MET
199400095,하양,하양,./image/199400095,HER 180mg
198500049,빨강,노랑,./image/198500049,VM50 VM50
199300958,노랑,,./image/199300958,CN2
199300959,노랑,,./image/199300959,CN4
199300960,노랑,,./image/199300960,CN8
200300661,초록,,./image/200300661,GMP분할선GMP
200500881,갈색,,./image/200500881,YJ ELF
198900739,주황,주황,./image/198900739,FNZ FNZ
197600141,하양,,./image/197600141,ID
199300454,갈색,,./image/199300454,LOTEN
198800331,검정,노랑,./image/198800331,IDP CE500
199900349,하양,,./image/199900349,IDP
200100383,주황,,./image/200100383,ID
200803961,노랑,,./image/200803961,마크341
197500185,갈색,노랑,./image/197500185,D-W D-WPMX PMX
198600436,파랑,노랑,./image/198600436,D-W D-WPMX PMX
198900665,하양,,./image/198900665,D-WOFX
198800557,하양,하양,./image/198800557,D-W D-WLAC LAC
200000554,하양,,./image/200000554,ID
197000037,빨강,,./image/197000037,Aro-G
199700555,노랑,,./image/199700555,ID
200001102,하양,,./image/200001102,D-W
199000708,갈색,"갈색, 진한",./image/199000708,D-W CEM
198700514,연두,,./image/198700514,D-W
199500320,하양,,./image/199500320,ID분할선12.5
199500322,하양,,./image/199500322,ID분할선25
197700085,초록,초록,./image/197700085,IDP WY500
199700556,하양,,./image/199700556,ID
200300274,초록,,./image/200300274,ID
200300277,하양,,./image/200300277,ID
200803967,노랑,,./image/200803967,YH
198700511,갈색,노랑,./image/198700511,헬민200
197500186,파랑,,./image/197500186,D-W
198600437,파랑,,./image/198600437,D-W
198800558,하양,,./image/198800558,D-W
198400322,분홍,,./image/198400322,D-W
200100391,하양,,./image/200100391,IDP·N
199400369,하양,,./image/199400369,ILDONG LE
200200338,주황,,./image/200200338,EXE
199900728,갈색,,./image/199900728,D-W CKT
199900729,갈색,,./image/199900729,D-W ZBC
199000707,하양,,./image/199000707,D-W
198700513,하양,,./image/198700513,마크
198900669,파랑,파랑,./image/198900669,D-W D-WCPR CPR
200001101,주황,,./image/200001101,D-W
197300104,하양,,./image/197300104,D-W
200500735,갈색,,./image/200500735,D-W B10
200100837,하양,,./image/200100837,COA
200200734,하양,,./image/200200734,AS
200200735,하양,,./image/200200735,SPRYJP
198900741,하양,,./image/198900741,APL
199600367,초록,,./image/199600367,IDP
198200131,초록,연두,./image/198200131,ID FLT
198600236,하양,,./image/198600236,IDP H
200200643,하양,,./image/200200643,D-W
198600509,하양,,./image/198600509,ATN50
199100838,보라,하양,./image/199100838,YJP CCL
197500188,연두,,./image/197500188,D-W
200500767,노랑,,./image/200500767,D-W
200500767,분홍,,./image/200500767,D-W
199400711,하양,,./image/199400711,OXT
200500892,하양,,./image/200500892,NRK
200300566,하양,,./image/200300566,D-WRBP
200703757,노랑,,./image/200703757,HM16
200300567,주황,,./image/200300567,D-W
200200644,분홍,,./image/200200644,D-W
199701063,보라,,./image/199701063,25
199701064,보라,,./image/199701064,50
199701065,보라,,./image/199701065,100
200400934,하양,,./image/200400934,VFX 75
200500426,하양,하양,./image/200500426,IDP M100
200600080,노랑,,./image/200600080,ID20
200500714,하양,,./image/200500714,D-W
200500715,분홍,,./image/200500715,D-W
200500717,하양,,./image/200500717,D-W
200500719,노랑,,./image/200500719,D-W 20
200500772,갈색,,./image/200500772,D-WZTG
200300569,초록,노랑,./image/200300569,D-W D-WXZC XZC
197900013,노랑,,./image/197900013,GH
199900835,하양,,./image/199900835,NT
200001190,하양,,./image/200001190,CPX
200300655,갈색,,./image/200300655,ZS
200600081,하양,,./image/200600081,ID
200600082,노랑,,./image/200600082,ID8
199100420,보라,하양,./image/199100420,ID CFC
197700088,하양,,./image/197700088,HIMETIN
200500713,하양,,./image/200500713,D-W
200600170,노랑,,./image/200600170,D-W A
200600172,초록,,./image/200600172,D-W
200300572,하양,,./image/200300572,D-W
200600173,갈색,,./image/200600173,D-WALK
200600174,갈색,,./image/200600174,D-W Q10
200400772,갈색,분홍,./image/200400772,D-W D-WZMP ZMP
200300660,분홍,,./image/200300660,PRS
200400920,하양,,./image/200400920,T
200604199,하양,,./image/200604199,ID분할선5
198900344,파랑,,./image/198900344,HIMETIN
199000363,하양,,./image/199000363,ID CC
197700137,분홍,,./image/197700137,NT
196200046,파랑,,./image/196200046,YJP
198700581,주황,,./image/198700581,CA분할선M2
200300286,노랑,,./image/200300286,IDP
199700553,분홍,,./image/199700553,ID
200000559,청록,"청록, 옅은",./image/200000559,ID 200
200000560,하양,,./image/200000560,ID V
200500776,하양,,./image/200500776,D-W
200400910,노랑,,./image/200400910,P4
200400913,노랑,,./image/200400913,MBX 7.5
200400914,회색,하양,./image/200400914,YJP ACB
200500872,하양,,./image/200500872,VFX37
200803828,노랑,,./image/200803828,CKD
200400930,주황,,./image/200400930,CRZ
200400733,회색,하양,./image/200400733,D-W D-W SFP SFP
200308476,주황,,./image/200308476,DW
200512148,하양,,./image/200512148,D.W
199604623,분홍,,./image/199604623,Adalat60
200307659,하양,,./image/200307659,BAYER
200409940,하양,,./image/200409940,BAYER
197800021,갈색,,./image/197800021,GH
200805428,갈색,,./image/200805428,VX분할선XΛ
200803800,하양,,./image/200803800,Kb
197800009,주황,,./image/197800009,GHB
200008989,하양,,./image/200008989,ZBN
200008990,노랑,,./image/200008990,ZBO
200400336,파랑,하양,./image/200400336,ID ID
200300283,주황,,./image/200300283,ID20
200500435,갈색,,./image/200500435,IDP CV
200300284,청록,,./image/200300284,ID분할선ID
200500437,갈색,,./image/200500437,COQ10
196900043,연두,,./image/196900043,ID·Q
200100392,연두,,./image/200100392,ILDONG PHARM
200600084,하양,,./image/200600084,IDP
200300551,주황,,./image/200300551,D-W
199900723,초록,,./image/199900723,D-W
200400738,갈색,,./image/200400738,D-W SMD
198300374,빨강,노랑,./image/198300374,D-W D-WMCB MCB
200100779,하양,,./image/200100779,D-W
200100780,파랑,파랑,./image/200100780,D-W D-WDNT DNT
200400752,연두,,./image/200400752,CΛTRB
200400753,주황,주황,./image/200400753,D-W D-WFNO FNO
200400757,파랑,하양,./image/200400757,D-W D-WDFR DFR
198500436,빨강,빨강,./image/198500436,D-W D-WMCB MCB
197700126,하양,,./image/197700126,D-WFCD
198700516,연두,,./image/198700516,D-W
200200631,주황,하양,./image/200200631,D-W D-WPAC PAC
200400763,분홍,,./image/200400763,D-W
200200642,하양,,./image/200200642,D-W E
200400766,분홍,분홍,./image/200400766,D-W D-WPDR PDR
200500721,초록,,./image/200500721,D-W ZRZ
199100413,갈색,하양,./image/199100413,IDP OBT
199400362,하양,,./image/199400362,ID·I
200603930,하양,,./image/200603930,302AV
199700548,보라,보라,./image/199700548,ID 20
200000548,하양,,./image/200000548,ID
200200327,하양,,./image/200200327,ID분할선BT
